text,positive,neutral,negative,compound
"By Reuters Staff
LONDON, July 1 (Reuters) - Activist investor Elliott urged GlaxoSmithKline to consider the sale of its consumer healthcare business, which is being listed next year.
Any strategic",0.0,1.0,0.0,0.0
"By Reuters Staff
July 22 (Reuters) - GlaxoSmithKline PLC:
* GLAXOSMITHKLINE PLC - CEO DESIGNATE OF NEW CONSUMER HEALTHCARE COMPANY
* GSK - BRIAN MCNAMARA APPOINTED CEO DESIGNATE OF NEW INDEPENDEN",0.0,1.0,0.0,0.0
"By Reuters Staff
July 1 (Reuters) - GlaxoSmithKline PLC:
* GSK - THE LEGACY ISSUES THAT ELLIOTT IDENTIFIES IN ITS LETTER ARE NOT NEW
* GSK - WE WILL RESPOND TO ELLIOTTS LETTER MORE FULLY IN DUE C",0.0,1.0,0.0,0.0
"By Reuters Staff
FILE PHOTO: A GlaxoSmithKline (GSK) logo is seen at the GSK research centre in Stevenage, Britain November 26, 2019. REUTERS/Peter Nicholls
(Reuters) - GlaxoSmithKline Plc and U.S",0.0,1.0,0.0,0.0
"A GlaxoSmithKline (GSK) logo is seen at the GSK research centre in Stevenage, Britain November 26, 2019. REUTERS/Peter NichollsMILAN, July 13 (Reuters) - Italy approved the temporary distribution of",0.097,0.903,0.0,0.4215
"LONDON, July 1 (Reuters) - Activist investor Elliott urged GlaxoSmithKline (GSK.L) to consider the sale of its consumer healthcare business, which is being listed next year and said it saw scope to ",0.0,1.0,0.0,0.0
"By Reuters Staff
(Adds detail, background)
July 20 (Reuters) - Europes drug regulator said on Tuesday it had started a real-time review of the COVID-19 vaccine developed by French drugmaker Sanofi",0.0,1.0,0.0,0.0
"By Reuters Staff
July 17 (Reuters) - GlaxoSmithKline PLC:
* GSK-VIIV HEALTHCARE STUDY SHOWS NEW LONG-ACTING HIV REGIMEN CABENUVA CAN BE USED IN BROAD RANGE OF US HEALTHCARE PRACTICES, EVEN DURING ",0.0,1.0,0.0,0.0
"A GlaxoSmithKline (GSK) logo is seen at the GSK research centre in Stevenage, Britain November 26, 2019. REUTERS/Peter NichollsJuly 2 (Reuters) - GlaxoSmithKline Plc (GSK.L) and U.S. firm Alector In",0.0,1.0,0.0,0.0
"A GlaxoSmithKline (GSK) logo is seen at the GSK research centre in Stevenage, Britain November 26, 2019. REUTERS/Peter NichollsJuly 16 (Reuters) - GlaxoSmithKline Plc (GSK.L) said on Friday its anae",0.0,1.0,0.0,0.0
July 8 (Reuters) - Sanofi SA (SASY.PA) and GlaxoSmithKline Plc (GSK.L) have received an approval from Indian authorities for a late-stage clinical trial of their protein-based COVID-19 vaccine candi,0.11,0.89,0.0,0.4767
July 20 (Reuters) - Europe's drug regulator said on Tuesday it had started a real-time review of the COVID-19 vaccine developed by French drugmaker Sanofi (SASY.PA) and Britain's GlaxoSmithKline (GS,0.0,1.0,0.0,0.0
"The drugmaker GlaxoSmithKline has issued a firm rejection of the main demands made by the activist investor Elliott Management, and insisted its chief executive, Emma Walmsley, would lead the new ph",0.0,0.892,0.108,-0.5423
"Company logo of pharmaceutical company GlaxoSmithKline is seen at their Stevenage facility, Britain October 26, 2020. REUTERS/Matthew Childs/File PhotoJuly 22 (Reuters) - British drugmaker GSK (GSK.",0.0,1.0,0.0,0.0
The US activist investor Elliott Management has in effect demanded Dame Emma Walmsley reapply for her job as chief executive of GlaxoSmithKline before the pharmaceutical companys demerger of its con,0.0,0.939,0.061,-0.2263
"By Reuters Staff
(Reuters) - Activist fund Elliott, which has taken a significant stake in pharmaceuticals group GSK, has written to the British companys board setting out five main recommendations",0.062,0.938,0.0,0.2023
"GlaxoSmithKline is seeking to create a £400m campus in Stevenage for new life sciences companies that it believes could result in up to 5,000 jobs over the next decade.
The pharmaceuticals company ",0.065,0.935,0.0,0.2732
"A healthcare worker provides care for a COVID-19 patient in the Intensive Care Unit (ICU) at the Centre Cardiologique du Nord private hospital in Saint-Denis, near Paris, amid the coronavirus diseas",0.192,0.808,0.0,0.7506
"GlaxoSmithKline 
 GSK,
 +0.11%
has issued a formal response to investor Elliott Managements public letter this week calling for a shake-up of the pharmaceutical giants board of directors and exec",0.0,1.0,0.0,0.0
"The board of Morrisons has obeyed the first rule of takeover situations: generate competitive tension. Two bidders are better than one on that score, so the surprise offer from an odd-looking consor",0.187,0.751,0.062,0.5688
