,GSK,PFE
2008-08-11,48.46,19.85
2008-08-12,48.03,19.72
2008-08-13,47.79,19.65
2008-08-14,47.78,19.79
2008-08-15,47.58,19.98
2008-08-18,47.03,19.65
2008-08-19,46.6,19.34
2008-08-20,46.06,19.3
2008-08-21,46.2,19.37
2008-08-22,46.4,19.76
2008-08-25,45.88,19.53
2008-08-26,46.45,19.29
2008-08-27,46.55,19.09
2008-08-28,47.02,19.29
2008-08-29,46.96,19.08
2008-09-02,46.98,19.17
2008-09-03,46.29,19.21
2008-09-04,45.1,18.67
2008-09-05,45.23,18.51
2008-09-08,44.02,19.13
2008-09-09,43.92,18.25
2008-09-10,44.48,18.18
2008-09-11,44.22,18.41
2008-09-12,44.22,18.64
2008-09-15,43.84,18.11
2008-09-16,43.18,17.82
2008-09-17,42.86,17.18
2008-09-18,43.71,17.96
2008-09-19,44.44,18.49
2008-09-22,44.02,18.07
2008-09-23,44.16,18.01
2008-09-24,44.06,18.02
2008-09-25,44.47,18.66
2008-09-26,44.91,18.66
2008-09-29,41.95,18.01
2008-09-30,43.46,18.36
2008-10-01,43.31,18.94
2008-10-02,42.82,18.75
2008-10-03,42.59,19.05
2008-10-06,41.42,18.76
2008-10-07,41.16,17.71
2008-10-08,39.39,17.17
2008-10-09,35.64,16.18
2008-10-10,34.53,15.28
2008-10-13,38.63,16.88
2008-10-14,38.59,17.1
2008-10-15,36.2,16.26
2008-10-16,37.43,16.86
2008-10-17,39.1,16.92
2008-10-20,39.95,17.3
2008-10-21,37.8,17.34
2008-10-22,36.6,16.93
2008-10-23,37.11,17.08
2008-10-24,35.79,16.56
2008-10-27,36.35,16.38
2008-10-28,38.21,17.83
2008-10-29,37.45,17.14
2008-10-30,37.81,17.86
2008-10-31,38.7,17.86
2008-11-03,39.15,17.75
2008-11-04,40.18,18.39
2008-11-05,37.02,17.01
2008-11-06,36.41,16.39
2008-11-07,38.32,16.87
2008-11-10,37.6,16.64
2008-11-11,37.99,16.53
2008-11-12,36.38,15.86
2008-11-13,37.27,16.74
2008-11-14,36.25,16.26
2008-11-17,35.69,15.92
2008-11-18,37.11,16.28
2008-11-19,35.08,15.56
2008-11-20,32.54,14.47
2008-11-21,32.85,15.68
2008-11-24,34.63,16.06
2008-11-25,34.41,15.98
2008-11-26,33.5,16.05
2008-11-28,34.46,16.43
2008-12-01,32.04,15.27
2008-12-02,33.62,16.02
2008-12-03,33.78,16.63
2008-12-04,34.06,16.27
2008-12-05,35.78,16.76
2008-12-08,36.39,16.9
2008-12-09,35.76,16.45
2008-12-10,35.4,16.57
2008-12-11,36.08,16.63
2008-12-12,36.08,16.94
2008-12-15,36.29,16.67
2008-12-16,37.84,17.46
2008-12-17,37.06,17.22
2008-12-18,36.51,17.11
2008-12-19,36.76,17.29
2008-12-22,35.97,17.18
2008-12-23,35.84,17.03
2008-12-24,36.03,17.0
2008-12-26,35.91,17.1
2008-12-29,35.8,17.28
2008-12-30,36.42,17.76
2008-12-31,37.28,17.81
